,電腦型彩券總銷售額(億),大樂透銷售總額(億),威力彩銷售總額(億),今彩539銷售總額(億),CPI年增率,失業率年變動(pp),CCI年變動,TAIEX年增率(%),連槓獎金(億),春節,端午,中秋
電腦型彩券總銷售額(億),1.0,0.697,0.763,0.502,-0.058,-0.076,-0.037,-0.032,0.773,0.518,-0.102,-0.051
大樂透銷售總額(億),0.697,1.0,0.071,0.494,0.106,-0.187,-0.017,-0.066,0.214,0.801,-0.094,-0.026
威力彩銷售總額(億),0.763,0.071,1.0,0.193,-0.186,0.082,-0.031,0.009,0.893,0.005,-0.046,-0.041
今彩539銷售總額(億),0.502,0.494,0.193,1.0,0.131,-0.307,-0.07,0.046,0.159,0.34,-0.187,-0.101
CPI年增率,-0.058,0.106,-0.186,0.131,1.0,-0.137,-0.015,0.045,-0.242,0.163,-0.009,-0.007
失業率年變動(pp),-0.076,-0.187,0.082,-0.307,-0.137,1.0,-0.299,0.128,0.033,-0.036,0.004,0.017
CCI年變動,-0.037,-0.017,-0.031,-0.07,-0.015,-0.299,1.0,0.264,-0.019,-0.04,-0.005,0.081
TAIEX年增率(%),-0.032,-0.066,0.009,0.046,0.045,0.128,0.264,1.0,-0.031,-0.001,0.006,0.009
連槓獎金(億),0.773,0.214,0.893,0.159,-0.242,0.033,-0.019,-0.031,1.0,0.047,-0.049,0.003
春節,0.518,0.801,0.005,0.34,0.163,-0.036,-0.04,-0.001,0.047,1.0,-0.091,-0.091
端午,-0.102,-0.094,-0.046,-0.187,-0.009,0.004,-0.005,0.006,-0.049,-0.091,1.0,-0.091
中秋,-0.051,-0.026,-0.041,-0.101,-0.007,0.017,0.081,0.009,0.003,-0.091,-0.091,1.0
