模型,月份,實際銷售額_億元,預測銷售額_億元,誤差_億元,絕對誤差_億元
整體電腦型彩券,2023-01,59.8776,55.5635,-4.3141,4.3141
整體電腦型彩券,2023-02,44.2746,33.8965,-10.3782,10.3782
整體電腦型彩券,2023-03,33.6607,40.8601,7.1994,7.1994
整體電腦型彩券,2023-04,22.5679,24.0019,1.434,1.434
整體電腦型彩券,2023-05,25.7627,27.0365,1.2738,1.2738
整體電腦型彩券,2023-06,31.187,30.1679,-1.0191,1.0191
整體電腦型彩券,2023-07,22.6926,24.3942,1.7016,1.7016
整體電腦型彩券,2023-08,25.215,26.3596,1.1446,1.1446
整體電腦型彩券,2023-09,37.9409,35.8461,-2.0948,2.0948
整體電腦型彩券,2023-10,26.8833,26.6453,-0.238,0.238
整體電腦型彩券,2023-11,33.2672,35.0938,1.8266,1.8266
整體電腦型彩券,2023-12,25.8432,22.659,-3.1841,3.1841
整體電腦型彩券,2024-01,25.2525,20.4803,-4.7721,4.7721
整體電腦型彩券,2024-02,60.29,53.0725,-7.2175,7.2175
整體電腦型彩券,2024-03,25.87,24.1894,-1.6805,1.6805
整體電腦型彩券,2024-04,24.0929,23.7077,-0.3851,0.3851
整體電腦型彩券,2024-05,26.3634,23.6459,-2.7176,2.7176
整體電腦型彩券,2024-06,24.5958,24.4256,-0.1702,0.1702
整體電腦型彩券,2024-07,24.5489,22.6388,-1.9101,1.9101
整體電腦型彩券,2024-08,23.4302,20.7024,-2.7278,2.7278
整體電腦型彩券,2024-09,27.653,22.0412,-5.6118,5.6118
整體電腦型彩券,2024-10,30.4824,28.4044,-2.078,2.078
整體電腦型彩券,2024-11,23.4345,22.3016,-1.1329,1.1329
整體電腦型彩券,2024-12,25.0545,23.8304,-1.2241,1.2241
整體電腦型彩券,2025-01,52.6177,56.6069,3.9891,3.9891
整體電腦型彩券,2025-02,85.1521,56.6818,-28.4703,28.4703
整體電腦型彩券,2025-03,24.6031,21.3555,-3.2476,3.2476
整體電腦型彩券,2025-04,24.2135,24.3626,0.1491,0.1491
整體電腦型彩券,2025-05,32.9129,30.825,-2.0879,2.0879
整體電腦型彩券,2025-06,51.7821,50.0889,-1.6932,1.6932
整體電腦型彩券,2025-07,30.4187,29.542,-0.8767,0.8767
整體電腦型彩券,2025-08,23.4067,23.0571,-0.3496,0.3496
整體電腦型彩券,2025-09,26.7152,24.7507,-1.9645,1.9645
整體電腦型彩券,2025-10,29.9748,26.9875,-2.9874,2.9874
整體電腦型彩券,2025-11,27.811,31.3685,3.5576,3.5576
整體電腦型彩券,2025-12,26.7466,24.5263,-2.2203,2.2203
大樂透,2023-01,36.4281,36.1832,-0.2449,0.2449
大樂透,2023-02,16.8441,11.5481,-5.296,5.296
大樂透,2023-03,9.7758,13.328,3.5522,3.5522
大樂透,2023-04,8.5587,11.4731,2.9144,2.9144
大樂透,2023-05,11.0029,14.0896,3.0867,3.0867
大樂透,2023-06,11.9635,10.5402,-1.4234,1.4234
大樂透,2023-07,8.8879,11.3783,2.4904,2.4904
大樂透,2023-08,8.9233,11.9837,3.0604,3.0604
大樂透,2023-09,12.1846,12.6919,0.5073,0.5073
大樂透,2023-10,10.1603,9.882,-0.2782,0.2782
大樂透,2023-11,11.2742,11.7462,0.4719,0.4719
大樂透,2023-12,10.9101,8.198,-2.7121,2.7121
大樂透,2024-01,9.1428,7.0998,-2.0431,2.0431
大樂透,2024-02,39.2996,34.911,-4.3885,4.3885
大樂透,2024-03,10.3763,11.3634,0.9871,0.9871
大樂透,2024-04,8.6639,9.2118,0.5479,0.5479
大樂透,2024-05,10.561,9.2916,-1.2694,1.2694
大樂透,2024-06,9.8968,7.78,-2.1168,2.1168
大樂透,2024-07,9.2875,8.7521,-0.5354,0.5354
大樂透,2024-08,8.5321,8.3495,-0.1825,0.1825
大樂透,2024-09,12.6259,10.532,-2.0939,2.0939
大樂透,2024-10,11.1662,11.8414,0.6752,0.6752
大樂透,2024-11,9.4563,10.0361,0.5797,0.5797
大樂透,2024-12,9.0753,8.3399,-0.7354,0.7354
大樂透,2025-01,28.4323,35.4127,6.9804,6.9804
大樂透,2025-02,31.317,14.0066,-17.3104,17.3104
大樂透,2025-03,8.4113,9.2614,0.8502,0.8502
大樂透,2025-04,8.5743,8.4387,-0.1355,0.1355
大樂透,2025-05,10.139,9.3162,-0.8228,0.8228
