月份,電腦型彩券總銷售額_億元,通膨率,失業率年變動_pp,CCI年變動,TAIEX年增率,連槓獎金_億元,春節,端午,中秋,CPI總指數,失業率,CCI,TAIEX月平均收盤指數,電腦型彩券最高連槓獎金
2011-01,31.4456,1.1,-1.04,28.05,10.77,5.1602,0,0,0,90.25,4.64,89.85,8970.76,516020248
2011-02,86.7695,1.33,-1.07,24.15,17.64,27.8301,1,0,0,90.93,4.69,89.8,8742.56,2783011428
2011-03,32.1305,1.39,-1.19,20.35,9.75,5.4746,0,0,0,90.13,4.48,88.0,8533.12,547455290
2011-04,29.5256,1.29,-1.1,8.5,10.04,6.1331,0,0,0,90.8,4.29,89.3,8860.92,613313004
2011-05,26.0998,1.66,-0.87,7.35,18.4,3.4808,0,0,0,90.98,4.27,90.55,8910.54,348080205
2011-06,27.8327,1.94,-0.81,9.4,18.49,4.2033,0,1,0,91.54,4.35,90.85,8748.66,420327493
2011-07,25.8463,1.32,-0.79,11.4,13.65,2.8354,0,0,0,91.27,4.41,93.55,8681.24,283541006
2011-08,39.4553,1.34,-0.72,11.2,-1.53,6.5027,0,0,0,91.3,4.45,93.55,7763.33,650270307
2011-09,35.8331,1.38,-0.77,10.8,-8.14,6.8909,0,0,1,91.42,4.28,92.8,7385.13,689093030
2011-10,34.1667,1.24,-0.62,6.2,-10.54,6.3202,0,0,0,91.91,4.3,88.35,7345.08,632023743
2011-11,31.7447,1.03,-0.45,1.65,-12.87,5.0507,0,0,0,91.89,4.28,85.95,7275.44,505069343
2011-12,34.686,2.03,-0.49,-3.3,-20.6,5.3217,0,0,0,92.09,4.18,82.7,6969.15,532171575
2012-01,83.5922,2.36,-0.46,-6.7,-20.0,11.1139,1,0,0,92.38,4.18,83.15,7176.74,1111389810
2012-02,58.8314,0.24,-0.44,-6.3,-10.14,17.1224,0,0,0,91.15,4.25,83.5,7855.93,1712238207
2012-03,36.6224,1.26,-0.31,-3.55,-6.01,5.6988,0,0,0,91.27,4.17,84.45,8020.0,569883813
2012-04,27.2478,1.44,-0.19,-5.95,-14.0,3.8105,0,0,0,92.11,4.1,83.35,7620.82,381047214
2012-05,26.8771,1.75,-0.15,-8.6,-17.44,2.7293,0,0,0,92.57,4.12,81.95,7356.84,272931831
2012-06,30.5742,1.77,-0.14,-10.7,-18.36,4.9038,0,1,0,93.16,4.21,80.15,7142.52,490378742
2012-07,71.9629,2.47,-0.1,-15.05,-17.21,18.9101,0,0,0,93.52,4.31,78.5,7187.14,1891014845
2012-08,28.9111,3.43,-0.05,-18.2,-4.56,4.2039,0,0,0,94.43,4.4,75.35,7409.6,420394461
2012-09,29.0222,2.95,0.04,-19.9,3.05,5.7065,0,0,1,94.12,4.32,72.9,7610.38,570648193
2012-10,39.3655,2.33,0.03,-17.05,1.27,10.0626,0,0,0,94.05,4.33,71.3,7438.14,1006264514
