月份,TAIEX月平均收盤指數,TAIEX交易日數,TAIEX是否估計
2010-01,8098.58,0,0
2010-02,7431.71,0,0
2010-03,7775.16,0,0
2010-04,8052.45,0,0
2010-05,7525.68,0,0
2010-06,7383.42,0,0
2010-07,7638.86,0,0
2010-08,7883.91,0,0
2010-09,8039.5,0,0
2010-10,8210.01,0,0
2010-11,8350.26,0,0
2010-12,8777.11,0,0
2011-01,8970.76,0,0
2011-02,8742.56,0,0
2011-03,8533.12,11,0
2011-04,8860.92,19,0
2011-05,8910.54,21,0
2011-06,8748.66,21,0
2011-07,8681.24,21,0
2011-08,7763.33,23,0
2011-09,7385.13,21,0
2011-10,7345.08,20,0
2011-11,7275.44,22,0
2011-12,6969.15,22,0
2012-01,7176.74,15,0
2012-02,7855.93,20,0
2012-03,8020.0,23,0
2012-04,7620.82,20,0
2012-05,7356.84,22,0
2012-06,7142.52,21,0
2012-07,7187.14,22,0
2012-08,7409.6,22,0
2012-09,7610.38,20,0
2012-10,7438.14,22,0
2012-11,7255.63,22,0
2012-12,7630.81,21,0
2013-01,7759.25,22,0
2013-02,7932.68,13,0
2013-03,7906.99,21,0
2013-04,7893.42,20,0
2013-05,8272.34,22,0
2013-06,7988.8,19,0
2013-07,8101.91,23,0
2013-08,7927.5,22,0
2013-09,8193.46,20,0
2013-10,8366.18,22,0
2013-11,8236.52,21,0
2013-12,8431.4,22,0
2014-01,8566.62,18,0
2014-02,8496.09,17,0
2014-03,8687.45,21,0
2014-04,8900.14,21,0
2014-05,8936.23,21,0
2014-06,9229.31,20,0
2014-07,9475.22,23,0
2014-08,9266.46,21,0
2014-09,9229.01,21,0
2014-10,8819.21,22,0
2014-11,9015.87,20,0
2014-12,9109.31,24,0
2015-01,9281.74,20,0
2015-02,9505.55,13,0
2015-03,9611.3,22,0
2015-04,9679.93,20,0
2015-05,9689.3,20,0
2015-06,9355.1,21,0
2015-07,8961.71,23,0
2015-08,8156.22,21,0
2015-09,8205.51,20,0
2015-10,8551.14,21,0
2015-11,8502.6,21,0
2015-12,8298.22,23,0
2016-01,7871.48,21,0
2016-02,8246.53,13,0
2016-03,8687.65,23,0
2016-04,8567.99,19,0
2016-05,8235.47,21,0
2016-06,8595.42,21,0
2016-07,8887.41,21,0
2016-08,9093.75,23,0
2016-09,9136.93,21,0
2016-10,9273.74,20,0
2016-11,9098.39,22,0
2016-12,9245.26,22,0
2017-01,9351.71,16,0
2017-02,9673.98,18,0
2017-03,9796.3,23,0
2017-04,9801.37,18,0
2017-05,9993.66,20,0
2017-06,10259.0,23,0
2017-07,10425.92,21,0
2017-08,10436.35,23,0
2017-09,10500.6,22,0
2017-10,10683.85,19,0
2017-11,10743.3,22,0
2017-12,10501.4,21,0
2018-01,11005.38,22,0
2018-02,10717.94,13,0
2018-03,10903.89,23,0
2018-04,10795.84,18,0
2018-05,10817.68,22,0
2018-06,10986.51,20,0
2018-07,10840.22,22,0
2018-08,10909.42,23,0
2018-09,10883.77,19,0
2018-10,10088.36,22,0
2018-11,9821.37,22,0
2018-12,9747.11,21,0
2019-01,9764.72,21,0
2019-02,10210.04,13,0
2019-03,10445.22,20,0
2019-04,10892.15,20,0
2019-05,10574.49,22,0
2019-06,10620.02,19,0
2019-07,10845.7,23,0
2019-08,10470.29,22,0
2019-09,10816.46,20,0
2019-10,11139.82,21,0
2019-11,11558.86,21,0
2019-12,11854.08,22,0
2020-01,11962.32,15,0
2020-02,11623.7,19,0
2020-03,10138.09,22,0
2020-04,10329.48,20,0
2020-05,10876.94,20,0
2020-06,11489.68,20,0
2020-07,12256.21,23,0
2020-08,12743.07,21,0
2020-09,12653.02,22,0
2020-10,12817.76,19,0
2020-11,13393.84,21,0
2020-12,14276.88,23,0
2021-01,15552.2,20,0
2021-02,16080.79,13,0
2021-03,16150.15,22,0
2021-04,17114.84,19,0
2021-05,16504.42,21,0
2021-06,17282.82,21,0
2021-07,17656.94,22,0
2021-08,17131.01,22,0
2021-09,17281.23,20,0
2021-10,16723.56,20,0
2021-11,17489.18,22,0
2021-12,17845.35,22,0
2022-01,18232.86,18,0
2022-02,18056.18,15,0
2022-03,17474.73,23,0
2022-04,16998.78,19,0
2022-05,16191.99,21,0
2022-06,15889.21,21,0
2022-07,14566.25,21,0
2022-08,15117.98,23,0
2022-09,14344.32,21,0
2022-10,13107.42,20,0
2022-11,14067.26,22,0
2022-12,14512.77,22,0
2023-01,14736.84,13,0
2023-02,15529.4,18,0
2023-03,15652.88,23,0
2023-04,15728.31,17,0
2023-05,15955.7,22,0
2023-06,16983.74,20,0
2023-07,17072.19,21,0
2023-08,16648.14,22,0
2023-09,16569.9,20,0
2023-10,16422.4,20,0
2023-11,16977.86,22,0
2023-12,17569.98,21,0
2024-01,17667.53,22,0
2024-02,18611.72,13,0
2024-03,19843.09,21,0
2024-04,20244.97,20,0
2024-05,21106.8,22,0
2024-06,22449.2,19,0
2024-07,23239.59,21,0
2024-08,21851.69,22,0
2024-09,21890.57,20,0
2024-10,23015.05,19,0
2024-11,22853.77,21,0
2024-12,23077.82,22,0
2025-01,23100.37,15,0
2025-02,23327.53,19,0
2025-03,22194.43,21,0
2025-04,19532.72,19,0
2025-05,21309.83,19,0
2025-06,22013.97,21,0
2025-07,22962.98,23,0
2025-08,24044.89,21,0
2025-09,25222.43,21,0
2025-10,27401.15,20,0
2025-11,27463.67,20,0
2025-12,28070.44,22,0
