月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2010-01,1426406150,745038000,757299100,2928743250,28528123,7450380,15145982,51124485,9,8,21,38,319119932,245508355,34906700,319119932,158489572.2222222,93129750.0,36061861.9047619,77072190.78947368
2010-02,2415584700,1549612100,830874950,4796071750,48311694,15496121,16617499,80425314,8,8,20,36,639568661,765792824,39567500,765792824,301948087.5,193701512.5,41543747.5,133224215.27777778
2010-03,1563354800,1157542500,915776500,3636673800,31267096,11575425,18315530,61158051,9,9,23,41,294118530,877368662,37259400,877368662,173706088.8888889,128615833.33333331,39816369.56521739,88699360.97560975
2010-04,1325854850,826942700,805119150,2957916700,26517097,8269427,16102383,50888907,9,9,22,40,157187411,508391611,36705450,508391611,147317205.55555555,91882522.22222222,36596325.0,73947917.5
2010-05,1285368200,721793800,741823550,2748985550,25707364,7217938,14836471,47761773,8,9,21,38,391829027,457401307,38279650,457401307,160671025.0,80199311.1111111,35324930.952380955,72341725.0
2010-06,1292536100,644144800,730138950,2666819850,25850722,6441448,14602779,46894949,9,8,22,39,294002160,527735250,33424500,527735250,143615122.2222222,80518100.0,33188134.09090909,68379996.15384616
2010-07,1303919550,812941100,722002100,2838862750,26078391,8129411,14440042,48647844,9,9,22,40,267857338,359096046,33419950,359096046,144879950.0,90326788.8888889,32818277.272727273,70971568.75
2010-08,1590981150,1421860400,745361700,3758203250,31819623,14218604,14907234,60945461,9,9,22,40,476685869,839313485,34696800,839313485,176775683.33333334,157984488.8888889,33880077.27272727,93955081.25
2010-09,1162225400,1697009800,841950200,3701185400,23244508,16970098,16839004,57053610,8,9,22,39,291744764,1310370842,36144950,1310370842,145278175.0,188556644.44444445,38270463.63636363,94902189.74358974
2010-10,1231291950,612873400,826302450,2670467800,24625839,6128734,16526049,47280622,9,8,21,38,202338176,338596673,36981850,338596673,136810216.66666666,76609175.0,39347735.71428572,70275468.42105263
2010-11,1413029750,651438800,907069200,2971537750,28260595,6514388,18141384,52916367,9,9,22,40,387200897,231203831,40995850,387200897,157003305.55555555,72382088.8888889,41230418.18181818,74288443.75
2010-12,1481451450,736635500,954848000,3172934950,29629029,7366355,19096960,56092344,9,9,23,41,406156781,438982419,37437400,438982419,164605716.66666666,81848388.8888889,41515130.43478261,77388657.31707317
2011-01,1489262150,647610500,1007690900,3144563550,29785243,6476105,20153818,56415166,8,9,26,43,516020248,225261112,39228800,516020248,186157768.75,71956722.22222222,38757342.307692304,73129384.88372093
2011-02,7007918150,585999300,1083028050,8676945500,140158363,5859993,21660561,167678917,8,8,24,40,2783011428,290641807,39841050,2783011428,875989768.75,73249912.5,45126168.75,216923637.5
2011-03,1332307550,798529700,1082209150,3213046400,26646151,7985297,21644183,56275631,9,9,27,45,280057248,547455290,39354750,547455290,148034172.2222222,88725522.22222222,40081820.37037037,71401031.1111111
2011-04,1356802400,591686300,1004069300,2952558000,27136048,5916863,20081386,53134297,9,8,26,43,373941969,613313004,37905550,613313004,150755822.2222222,73960787.5,38618050.0,68664139.53488372
2011-05,1123037250,552147700,934790950,2609975900,22460745,5521477,18695819,46678041,9,9,26,44,216732733,348080205,35436500,348080205,124781916.66666669,61349744.44444445,35953498.07692308,59317634.09090909
2011-06,1285658300,571331200,926282100,2783271600,25713166,5713312,18525642,49952120,8,9,26,43,283755629,420327493,36195100,420327493,160707287.5,63481244.44444445,35626234.615384616,64727246.511627905
2011-07,1172733500,486014700,925879200,2584627400,23454670,4860147,18517584,46832401,9,8,26,43,225839637,283541006,31551450,283541006,130303722.22222222,60751837.5,35610738.461538464,60107613.95348837
2011-08,1809779050,1134014400,1001740200,3945533650,36195581,11340144,20034804,67570529,9,9,27,45,559449172,650270307,35465200,650270307,201086561.1111111,126001600.0,37101488.88888889,87678525.55555555
2011-09,1949421850,483077500,1150811100,3583310450,38988437,4830775,23016222,66835434,9,9,26,44,689093030,220961315,49390650,689093030,216602427.7777778,53675277.777777776,44261965.384615384,81438873.86363636
2011-10,1107327750,1150672300,1158671400,3416671450,22146555,11506723,23173428,56826706,8,9,26,43,220432724,632023743,48246650,632023743,138415968.75,127852477.77777778,44564284.615384616,79457475.58139534
2011-11,1660151950,478648700,1035673500,3174474150,33203039,4786487,20713470,58702996,9,8,26,43,505069343,202166964,43777150,505069343,184461327.7777778,59831087.5,39833596.15384615,73824980.23255815
2011-12,1704649150,699336700,1064609800,3468595650,34092983,6993367,21292196,62378546,9,9,27,45,532171575,427699272,37394550,532171575,189405461.1111111,77704077.77777778,39429992.59259259,77079903.33333333
2012-01,4950277100,2198935100,1210006050,8359218250,99005542,21989351,24200121,145195014,9,9,26,44,819369865,1111389810,37942100,1111389810,550030788.8888888,244326122.2222222,46538694.23076923,189982232.95454547
2012-02,4227821500,565142000,1090177650,5883141150,84556430,5651420,21803553,112011403,8,8,25,41,1712238207,313902537,38772850,1712238207,528477687.5,70642750.0,43607106.0,143491247.5609756
2012-03,1959624900,589991400,1112620650,3662236950,39192498,5899914,22252413,67344825,9,9,27,45,569883813,376794875,40929400,569883813,217736100.0,65554600.0,41208172.222222224,81383043.33333333
2012-04,1333082750,446061400,945640650,2724784800,26661655,4460614,18912813,50035082,8,9,25,42,381047214,228321338,36111550,381047214,166635343.75,49562377.777777776,37825626.0,64875828.571428575
