月份,大樂透連槓獎金,大樂透連槓期數,大樂透重置次數,威力彩連槓獎金,威力彩連槓期數,威力彩重置次數,今彩539連槓獎金,今彩539連槓期數,今彩539重置次數,電腦型彩券最高連槓獎金,電腦型彩券連槓期數
2010-01,319119932,6,3,245508355,7,1,34906700,10,11,319119932,23
2010-02,639568661,6,2,765792824,8,0,39567500,10,10,765792824,24
2010-03,294118530,6,3,877368662,7,2,37259400,11,12,877368662,24
2010-04,157187411,4,5,508391611,7,2,36705450,10,12,508391611,21
2010-05,391829027,7,1,457401307,6,3,38279650,11,10,457401307,24
2010-06,294002160,8,1,527735250,7,1,33424500,14,8,527735250,29
2010-07,267857338,8,1,359096046,8,1,33419950,10,12,359096046,26
2010-08,476685869,8,1,839313485,9,0,34696800,11,11,839313485,28
2010-09,291744764,6,2,1310370842,8,1,36144950,13,9,1310370842,27
2010-10,202338176,7,2,338596673,7,1,36981850,12,9,338596673,26
2010-11,387200897,8,1,231203831,9,0,40995850,10,12,387200897,27
2010-12,406156781,8,1,438982419,8,1,37437400,10,13,438982419,26
2011-01,516020248,7,1,225261112,8,1,39228800,14,12,516020248,29
2011-02,2783011428,7,1,290641807,8,0,39841050,12,12,2783011428,27
2011-03,280057248,7,2,547455290,9,0,39354750,11,16,547455290,27
2011-04,373941969,7,2,613313004,7,1,37905550,11,15,613313004,25
2011-05,216732733,7,2,348080205,9,0,35436500,12,14,348080205,28
2011-06,283755629,6,2,420327493,7,2,36195100,16,10,420327493,29
2011-07,225839637,4,5,283541006,8,0,31551450,9,17,283541006,21
2011-08,559449172,9,0,650270307,8,1,35465200,16,11,650270307,33
2011-09,689093030,7,2,220961315,8,1,49390650,12,14,689093030,27
2011-10,220432724,6,2,632023743,8,1,48246650,16,10,632023743,30
2011-11,505069343,7,2,202166964,7,1,43777150,14,12,505069343,28
2011-12,532171575,9,0,427699272,9,0,37394550,12,15,532171575,30
2012-01,819369865,6,3,1111389810,8,1,37942100,14,12,1111389810,28
2012-02,1712238207,7,1,313902537,8,0,38772850,11,14,1712238207,26
2012-03,569883813,8,1,376794875,8,1,40929400,15,12,569883813,31
2012-04,381047214,7,1,228321338,8,1,36111550,13,12,381047214,28
2012-05,211419772,6,3,272931831,8,1,33702550,11,16,272931831,25
2012-06,434016907,6,3,490378742,8,0,41431100,13,13,490378742,27
2012-07,838138979,7,2,1891014845,9,0,43140300,11,15,1891014845,27
2012-08,420394461,9,0,223956516,7,2,34579150,13,14,420394461,29
2012-09,570648193,6,2,228079602,7,1,41196700,11,14,570648193,24
2012-10,1006264514,6,3,448332222,9,0,46173800,13,14,1006264514,28
2012-11,195402330,6,3,1228181357,9,0,36909300,12,14,1228181357,27
2012-12,275568351,7,1,2281163003,7,2,38103900,14,12,2281163003,28
2013-01,288202948,7,2,253361610,8,1,36097000,14,13,288202948,29
2013-02,704271885,8,3,257812524,8,0,40034400,12,12,704271885,28
2013-03,225890748,6,3,512642707,8,0,40213000,10,16,512642707,24
2013-04,292090432,8,1,1752264500,8,1,36891500,13,13,1752264500,29
2013-05,466521329,8,1,216676414,9,0,47262800,13,14,466521329,30
2013-06,637737987,7,1,841438436,8,0,39836650,12,13,841438436,27
2013-07,294065185,7,2,2836789806,8,1,38215750,13,14,2836789806,28
2013-08,252482810,8,1,256331605,9,0,35631800,12,15,256331605,29
2013-09,502174507,5,3,916247496,8,1,35436850,13,12,916247496,26
2013-10,229778025,7,2,1407475579,8,1,34320950,14,13,1407475579,29
2013-11,444408550,7,2,676688609,8,0,39247350,10,16,676688609,25
2013-12,568031223,8,1,1841687772,7,2,36214100,14,12,1841687772,29
2014-01,510859037,8,2,244726742,9,0,39251950,13,14,510859037,30
2014-02,668825176,7,4,1157825063,8,0,40630347,11,13,1157825063,26
2014-03,165636331,5,3,1649912047,7,2,37096900,15,11,1649912047,27
2014-04,195944047,5,4,313148766,8,0,39286400,14,12,313148766,27
2014-05,423450647,8,1,883762278,9,0,37165600,15,12,883762278,32
2014-06,142049147,6,2,1426709226,8,1,35604850,12,13,1426709226,26
2014-07,360227761,8,1,297080003,9,0,33778200,15,12,360227761,32
2014-08,145981401,6,3,565786745,8,0,34480450,13,13,565786745,27
2014-09,278955351,7,2,627255144,7,2,44897800,13,13,627255144,27
2014-10,150895455,6,3,259118848,9,0,36180100,11,16,259118848,26
2014-11,320892077,7,1,472503933,7,1,38913647,11,14,472503933,25
2014-12,244845838,8,1,1330759885,9,0,37125200,12,15,1330759885,29
2015-01,408289487,8,1,2325446031,8,1,35774300,14,13,2325446031,30
2015-02,614407269,10,3,706322836,8,0,39800250,15,9,706322836,33
2015-03,532967873,8,1,1446149089,9,0,37884850,12,14,1446149089,29
2015-04,210540360,7,1,3380505101,8,1,38258894,13,13,3380505101,28
2015-05,511919345,9,0,185440197,8,0,36919950,13,13,511919345,30
2015-06,564050805,6,3,588076124,8,1,35912547,11,15,588076124,25
2015-07,357878206,9,0,999418028,9,0,36336400,12,15,999418028,30
2015-08,129776593,6,2,2047766499,9,0,35012200,13,13,2047766499,28
2015-09,508311909,8,1,3112695985,7,1,40294050,13,13,3112695985,28
2015-10,173835652,7,2,513223679,9,0,44273900,14,13,513223679,30
2015-11,264421744,6,2,705811153,8,1,34219450,12,13,705811153,26
2015-12,137126991,7,2,202558959,9,0,35853400,13,14,202558959,29
2016-01,171812844,8,1,341778798,8,0,33773650,14,12,341778798,30
2016-02,346119645,9,5,894314496,9,0,35724300,11,14,894314496,29
2016-03,256922374,8,1,1117733763,7,2,35903350,12,15,1117733763,27
2016-04,133063661,7,2,232414103,8,0,34243900,13,13,232414103,28
2016-05,161800184,7,2,324524158,7,2,35413800,14,12,324524158,28
2016-06,216441691,7,1,439192831,9,0,54586600,11,15,439192831,27
2016-07,260310379,9,0,668223037,8,0,34734300,14,12,668223037,31
2016-08,306863197,8,1,1007404655,8,1,31840150,15,12,1007404655,31
