月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額,CPI總指數,CPI食物類,CPI衣著類,CPI居住類,CPI交通及通訊類,CPI醫藥保健類,CPI教養娛樂類,CPI雜項類,總人口數千人,15歲以上民間人口千人,勞動力千人,就業人數千人,失業人數千人,勞動力參與率,失業率,CCI,TAIEX月平均收盤指數,TAIEX交易日數,TAIEX是否估計,大樂透連槓獎金,大樂透連槓期數,大樂透重置次數,威力彩連槓獎金,威力彩連槓期數,威力彩重置次數,今彩539連槓獎金,今彩539連槓期數,今彩539重置次數,電腦型彩券最高連槓獎金,電腦型彩券連槓期數,春節,端午,中秋,通膨率,失業率年變動_pp,CCI年變動,TAIEX年增率
2010-01,1426406150,745038000,757299100,2928743250,28528123,7450380,15145982,51124485,9,8,21,38,319119932,245508355,34906700,319119932,158489572.2222222,93129750.0,36061861.9047619,77072190.78947368,89.27,76.8,91.06,93.65,102.52,89.86,96.06,84.55,23020.0,18976.0,11014.0,10388.0,626.0,58.04,5.68,61.8,8098.58,0,0,319119932,6,3,245508355,7,1,34906700,10,11,319119932,23,0,0,0,,,,
2010-02,2415584700,1549612100,830874950,4796071750,48311694,15496121,16617499,80425314,8,8,20,36,639568661,765792824,39567500,765792824,301948087.5,193701512.5,41543747.5,133224215.27777778,89.74,76.44,86.52,93.97,101.81,89.82,98.36,89.34,23023.0,18992.0,11007.0,10373.0,634.0,57.96,5.76,65.65,7431.71,0,0,639568661,6,2,765792824,8,0,39567500,10,10,765792824,24,1,0,0,,,,
2010-03,1563354800,1157542500,915776500,3636673800,31267096,11575425,18315530,61158051,9,9,23,41,294118530,877368662,37259400,877368662,173706088.8888889,128615833.33333331,39816369.56521739,88699360.97560975,88.89,76.43,84.13,93.76,101.5,90.0,96.13,85.26,23026.0,19007.0,11008.0,10384.0,624.0,57.92,5.67,67.65,7775.16,0,0,294118530,6,3,877368662,7,2,37259400,11,12,877368662,24,0,0,0,,,,
2010-04,1325854850,826942700,805119150,2957916700,26517097,8269427,16102383,50888907,9,9,22,40,157187411,508391611,36705450,508391611,147317205.55555555,91882522.22222222,36596325.0,73947917.5,89.64,76.95,96.0,93.82,101.79,90.27,96.48,85.91,23028.0,19021.0,11007.0,10414.0,593.0,57.87,5.39,80.8,8052.45,0,0,157187411,4,5,508391611,7,2,36705450,10,12,508391611,21,0,0,0,,,,
2010-05,1285368200,721793800,741823550,2748985550,25707364,7217938,14836471,47761773,8,9,21,38,391829027,457401307,38279650,457401307,160671025.0,80199311.1111111,35324930.952380955,72341725.0,89.49,76.86,95.99,93.84,101.77,90.22,96.43,84.66,23031.0,19037.0,11026.0,10459.0,567.0,57.92,5.14,83.2,7525.68,0,0,391829027,7,1,457401307,6,3,38279650,11,10,457401307,24,0,0,0,,,,
2010-06,1292536100,644144800,730138950,2666819850,25850722,6441448,14602779,46894949,9,8,22,39,294002160,527735250,33424500,527735250,143615122.2222222,80518100.0,33188134.09090909,68379996.15384616,89.8,77.13,93.44,94.84,100.92,90.13,96.4,86.53,23033.0,19052.0,11053.0,10483.0,570.0,58.02,5.16,81.45,7383.42,0,0,294002160,8,1,527735250,7,1,33424500,14,8,527735250,29,0,1,0,,,,
2010-07,1303919550,812941100,722002100,2838862750,26078391,8129411,14440042,48647844,9,9,22,40,267857338,359096046,33419950,359096046,144879950.0,90326788.8888889,32818277.272727273,70971568.75,90.08,77.78,90.34,94.83,100.79,89.97,98.11,85.92,23037.0,19069.0,11116.0,10538.0,578.0,58.29,5.2,82.15,7638.86,0,0,267857338,8,1,359096046,8,1,33419950,10,12,359096046,26,0,0,0,,,,
2010-08,1590981150,1421860400,745361700,3758203250,31819623,14218604,14907234,60945461,9,9,22,40,476685869,839313485,34696800,839313485,176775683.33333334,157984488.8888889,33880077.27272727,93955081.25,90.09,78.44,86.83,94.75,100.96,90.1,97.71,85.66,23039.0,19085.0,11146.0,10570.0,576.0,58.4,5.17,82.35,7883.91,0,0,476685869,8,1,839313485,9,0,34696800,11,11,839313485,28,0,0,0,,,,
2010-09,1162225400,1697009800,841950200,3701185400,23244508,16970098,16839004,57053610,8,9,22,39,291744764,1310370842,36144950,1310370842,145278175.0,188556644.44444445,38270463.63636363,94902189.74358974,90.18,78.96,85.36,94.86,100.65,90.78,97.32,85.85,23040.0,19100.0,11091.0,10531.0,560.0,58.07,5.05,82.0,8039.5,0,0,291744764,6,2,1310370842,8,1,36144950,13,9,1310370842,27,0,0,1,,,,
2010-10,1231291950,612873400,826302450,2670467800,24625839,6128734,16526049,47280622,9,8,21,38,202338176,338596673,36981850,338596673,136810216.66666666,76609175.0,39347735.71428572,70275468.42105263,90.78,80.21,97.78,93.86,101.39,90.76,97.38,84.72,23044.0,19118.0,11106.0,10560.0,546.0,58.09,4.92,82.15,8210.01,0,0,202338176,7,2,338596673,7,1,36981850,12,9,338596673,26,0,0,0,,,,
2010-11,1413029750,651438800,907069200,2971537750,28260595,6514388,18141384,52916367,9,9,22,40,387200897,231203831,40995850,387200897,157003305.55555555,72382088.8888889,41230418.18181818,74288443.75,90.95,80.26,99.8,93.9,101.83,90.83,97.13,85.54,23050.0,19136.0,11132.0,10605.0,527.0,58.17,4.73,84.3,8350.26,0,0,387200897,8,1,231203831,9,0,40995850,10,12,387200897,27,0,0,0,,,,
2010-12,1481451450,736635500,954848000,3172934950,29629029,7366355,19096960,56092344,9,9,23,41,406156781,438982419,37437400,438982419,164605716.66666666,81848388.8888889,41515130.43478261,77388657.31707317,90.26,78.19,96.97,94.1,102.13,91.15,96.99,85.57,23055.0,19153.0,11133.0,10613.0,520.0,58.13,4.67,86.0,8777.11,0,0,406156781,8,1,438982419,8,1,37437400,10,13,438982419,26,0,0,0,,,,
2011-01,1489262150,647610500,1007690900,3144563550,29785243,6476105,20153818,56415166,8,9,26,43,516020248,225261112,39228800,516020248,186157768.75,71956722.22222222,38757342.307692304,73129384.88372093,90.25,78.35,91.82,94.07,103.05,91.18,97.43,84.88,23057.0,19169.0,11140.0,10623.0,517.0,58.11,4.64,89.85,8970.76,0,0,516020248,7,1,225261112,8,1,39228800,14,12,516020248,29,0,0,0,1.1,-1.04,28.05,10.77
