,"人力資源主要指標",
,,,,,,,,,,,,""
統計期,總人口數(千人),15歲以上民間人口(千人),勞動力(千人),就業人數(千人),失業人數(千人),15歲以上民間人口占總人口數(%),勞動力占總人口數(%),勞動力參與率(%),就業人口占總人口數(%),就業人口占15歲以上民間人口(%),就業人口占勞動力(%),失業率(%)
99年1月,23020.0,18976.0,11014.0,10388.0,626.0,82.43,47.84,58.04,45.13,54.74,94.32,5.68
99年2月,23023.0,18992.0,11007.0,10373.0,634.0,82.49,47.81,57.96,45.06,54.62,94.24,5.76
99年3月,23026.0,19007.0,11008.0,10384.0,624.0,82.54,47.81,57.92,45.09,54.63,94.33,5.67
99年4月,23028.0,19021.0,11007.0,10414.0,593.0,82.6,47.8,57.87,45.22,54.75,94.61,5.39
99年5月,23031.0,19037.0,11026.0,10459.0,567.0,82.66,47.87,57.92,45.41,54.94,94.86,5.14
99年6月,23033.0,19052.0,11053.0,10483.0,570.0,82.72,47.99,58.02,45.51,55.02,94.84,5.16
99年7月,23037.0,19069.0,11116.0,10538.0,578.0,82.78,48.25,58.29,45.74,55.26,94.8,5.2
99年8月,23039.0,19085.0,11146.0,10570.0,576.0,82.84,48.38,58.4,45.88,55.38,94.83,5.17
99年9月,23040.0,19100.0,11091.0,10531.0,560.0,82.9,48.14,58.07,45.71,55.14,94.95,5.05
99年10月,23044.0,19118.0,11106.0,10560.0,546.0,82.96,48.19,58.09,45.82,55.23,95.08,4.92
99年11月,23050.0,19136.0,11132.0,10605.0,527.0,83.02,48.29,58.17,46.01,55.42,95.27,4.73
99年12月,23055.0,19153.0,11133.0,10613.0,520.0,83.08,48.29,58.13,46.04,55.41,95.33,4.67
100年1月,23057.0,19169.0,11140.0,10623.0,517.0,83.14,48.31,58.11,46.07,55.41,95.36,4.64
100年2月,23057.0,19183.0,11123.0,10601.0,522.0,83.2,48.24,57.98,45.98,55.26,95.31,4.69
100年3月,23058.0,19198.0,11128.0,10629.0,499.0,83.26,48.26,57.97,46.1,55.37,95.52,4.48
100年4月,23062.0,19213.0,11126.0,10648.0,477.0,83.31,48.24,57.91,46.17,55.42,95.71,4.29
100年5月,23065.0,19228.0,11146.0,10670.0,476.0,83.36,48.32,57.97,46.26,55.49,95.73,4.27
100年6月,23071.0,19244.0,11183.0,10696.0,486.0,83.41,48.47,58.11,46.36,55.58,95.65,4.35
100年7月,23078.0,19260.0,11248.0,10752.0,496.0,83.46,48.74,58.4,46.59,55.83,95.59,4.41
100年8月,23083.0,19276.0,11284.0,10782.0,502.0,83.51,48.89,58.54,46.71,55.93,95.55,4.45
100年9月,23086.0,19291.0,11231.0,10750.0,481.0,83.56,48.65,58.22,46.56,55.72,95.72,4.28
100年10月,23093.0,19309.0,11249.0,10765.0,484.0,83.61,48.71,58.26,46.62,55.75,95.7,4.3
100年11月,23101.0,19326.0,11270.0,10788.0,482.0,83.66,48.79,58.32,46.7,55.82,95.72,4.28
100年12月,23111.0,19342.0,11273.0,10802.0,471.0,83.69,48.78,58.28,46.74,55.85,95.82,4.18
101年1月,23116.0,19359.0,11280.0,10808.0,472.0,83.75,48.8,58.27,46.76,55.83,95.82,4.18
101年2月,23118.0,19372.0,11270.0,10790.0,479.0,83.79,48.75,58.18,46.67,55.7,95.75,4.25
101年3月,23123.0,19385.0,11276.0,10806.0,470.0,83.84,48.77,58.17,46.73,55.74,95.83,4.17
101年4月,23128.0,19399.0,11281.0,10818.0,463.0,83.88,48.78,58.15,46.78,55.77,95.9,4.1
101年5月,23135.0,19413.0,11300.0,10834.0,466.0,83.92,48.85,58.21,46.83,55.81,95.88,4.12
101年6月,23143.0,19428.0,11331.0,10854.0,477.0,83.95,48.96,58.32,46.9,55.87,95.79,4.21
101年7月,23149.0,19442.0,11372.0,10883.0,490.0,83.99,49.13,58.49,47.01,55.97,95.69,4.31
101年8月,23156.0,19456.0,11403.0,10901.0,502.0,84.02,49.25,58.61,47.08,56.03,95.6,4.4
101年9月,23161.0,19471.0,11369.0,10878.0,491.0,84.07,49.09,58.39,46.97,55.87,95.68,4.32
101年10月,23171.0,19487.0,11391.0,10897.0,493.0,84.1,49.16,58.45,47.03,55.92,95.67,4.33
101年11月,23181.0,19503.0,11405.0,10918.0,487.0,84.13,49.2,58.48,47.1,55.98,95.73,4.27
101年12月,23191.0,19518.0,11408.0,10931.0,477.0,84.16,49.19,58.45,47.13,56.01,95.82,4.18
102年1月,23199.0,19531.0,11410.0,10935.0,475.0,84.19,49.18,58.42,47.14,55.99,95.84,4.16
102年2月,23203.0,19544.0,11398.0,10915.0,483.0,84.23,49.12,58.32,47.04,55.85,95.76,4.24
102年3月,23206.0,19555.0,11396.0,10921.0,475.0,84.27,49.11,58.28,47.06,55.85,95.83,4.17
102年4月,23208.0,19564.0,11392.0,10929.0,464.0,84.3,49.09,58.23,47.09,55.86,95.93,4.07
102年5月,23212.0,19573.0,11401.0,10939.0,463.0,84.32,49.12,58.25,47.13,55.89,95.94,4.06
102年6月,23216.0,19583.0,11432.0,10959.0,473.0,84.35,49.24,58.38,47.2,55.96,95.86,4.14
102年7月,23221.0,19592.0,11471.0,10984.0,487.0,84.37,49.4,58.55,47.3,56.06,95.75,4.25
102年8月,23224.0,19602.0,11498.0,11000.0,497.0,84.4,49.51,58.66,47.37,56.12,95.67,4.33
102年9月,23226.0,19611.0,11466.0,10980.0,486.0,84.44,49.37,58.47,47.28,55.99,95.76,4.24
102年10月,23230.0,19620.0,11483.0,10996.0,487.0,84.46,49.43,58.52,47.33,56.04,95.76,4.24
102年11月,23235.0,19630.0,11497.0,11019.0,478.0,84.48,49.48,58.57,47.42,56.13,95.84,4.16
102年12月,23241.0,19639.0,11498.0,11029.0,469.0,84.5,49.47,58.55,47.46,56.16,95.92,4.08
103年1月,23244.0,19649.0,11498.0,11036.0,462.0,84.53,49.47,58.52,47.48,56.17,95.98,4.02
103年2月,23245.0,19658.0,11489.0,11019.0,470.0,84.57,49.42,58.44,47.4,56.05,95.91,4.09
103年3月,23245.0,19667.0,11490.0,11027.0,463.0,84.61,49.43,58.42,47.44,56.07,95.97,4.03
103年4月,23248.0,19676.0,11489.0,11040.0,449.0,84.64,49.42,58.39,47.49,56.11,96.09,3.91
103年5月,23251.0,19687.0,11496.0,11052.0,443.0,84.67,49.44,58.39,47.54,56.14,96.15,3.85
103年6月,23256.0,19698.0,11513.0,11062.0,451.0,84.7,49.51,58.45,47.57,56.16,96.08,3.92
103年7月,23261.0,19709.0,11555.0,11091.0,464.0,84.73,49.68,58.63,47.68,56.27,95.98,4.02
103年8月,23267.0,19722.0,11583.0,11110.0,473.0,84.76,49.78,58.73,47.75,56.34,95.92,4.08
103年9月,23272.0,19731.0,11557.0,11099.0,458.0,84.79,49.66,58.57,47.69,56.25,96.04,3.96
103年10月,23278.0,19742.0,11577.0,11120.0,457.0,84.81,49.73,58.64,47.77,56.32,96.05,3.95
103年11月,23285.0,19755.0,11588.0,11137.0,451.0,84.84,49.77,58.66,47.83,56.37,96.11,3.89
103年12月,23294.0,19766.0,11590.0,11151.0,439.0,84.85,49.76,58.64,47.87,56.42,96.21,3.79
104年1月,23300.0,19777.0,11589.0,11159.0,430.0,84.88,49.74,58.6,47.89,56.42,96.29,3.71
104年2月,23305.0,19789.0,11588.0,11160.0,428.0,84.91,49.73,58.56,47.89,56.4,96.31,3.69
104年3月,23308.0,19799.0,11593.0,11162.0,431.0,84.94,49.74,58.55,47.89,56.38,96.28,3.72
104年4月,23310.0,19810.0,11591.0,11170.0,421.0,84.98,49.72,58.51,47.92,56.39,96.37,3.63
104年5月,23314.0,19823.0,11600.0,11179.0,420.0,85.03,49.75,58.52,47.95,56.4,96.38,3.62
104年6月,23319.0,19834.0,11617.0,11185.0,431.0,85.05,49.82,58.57,47.97,56.39,96.29,3.71
104年7月,23319.0,19843.0,11656.0,11211.0,445.0,85.09,49.99,58.74,48.08,56.5,96.18,3.82
104年8月,23320.0,19856.0,11686.0,11230.0,456.0,85.15,50.11,58.85,48.16,56.56,96.1,3.9
104年9月,23323.0,19870.0,11667.0,11213.0,454.0,85.19,50.03,58.72,48.08,56.43,96.11,3.89
104年10月,23328.0,19887.0,11680.0,11225.0,455.0,85.25,50.07,58.73,48.12,56.45,96.1,3.9
104年11月,23335.0,19903.0,11692.0,11235.0,457.0,85.29,50.1,58.74,48.15,56.45,96.09,3.91
104年12月,23343.0,19916.0,11695.0,11242.0,453.0,85.32,50.1,58.72,48.16,56.45,96.13,3.87
105年1月,23349.0,19927.0,11697.0,11244.0,453.0,85.34,50.1,58.7,48.16,56.43,96.13,3.87
