年度,開獎次數,銷售總額,銷售注數,總獎金,平均每期銷售額,平均每期總獎金,獎金銷售比
2010,105,17492004050,349840081,20418325618,166590514.76190478,194460243.98095238,1.1672948142268467
2011,104,22999049050,459980981,26590257010,221144702.40384614,255675548.17307693,1.1561459324771517
2012,104,24847059850,496941197,30851880788,238914037.01923078,296652699.88461536,1.2416712872368278
2013,108,19933398700,398667974,22806877264,184568506.4814815,211174789.4814815,1.1441539702910775
2014,108,14709025200,294180504,16550694103,136194677.7777778,153247167.62037036,1.1252067270236235
2015,109,14641817100,292836342,22149406392,134328597.2477064,203205563.2293578,1.5127498343084753
2016,111,12941440800,258828816,19189040676,116589556.75675675,172874240.3243243,1.482759220750753
2017,108,13350786150,267015723,19301772221,123618390.27777778,178720113.1574074,1.445740498285189
2018,108,13931503000,278630060,23130297997,128995398.14814815,214169425.89814815,1.6602873356162648
2019,112,14930259900,298605198,26505882368,133305891.96428572,236659664.0,1.7753128576147559
2020,112,15532217050,310644341,25219354697,138680509.375,225172809.79464287,1.6236802908313723
2021,114,14523136250,290462725,22483554749,127395932.01754385,197224164.4649123,1.5481197974025755
2022,114,14461828300,289236566,20468714640,126858142.98245615,179550128.42105263,1.4153614754228552
2023,116,15691349350,313826987,21630233518,135270253.0172414,186467530.3275862,1.378481418999189
2024,118,14808363250,296167265,19523786739,125494603.81355932,165455819.8220339,1.3184297554964421
2025,118,17413918150,348278363,28394785789,147575577.54237288,240633777.87288135,1.630579950153263
