年月,開獎次數,銷售總額,銷售注數,總獎金,平均每期銷售額,平均每期總獎金,獎金銷售比
2011-01,8,1489262150,29785243,2008318471,186157768.75,251039808.875,1.34853254076188
2011-02,8,7007918150,140158363,6518332865,875989768.75,814791608.125,0.9301382700938081
2011-03,9,1332307550,26646151,1464546035,148034172.2222222,162727337.2222222,1.0992552245162912
2011-04,9,1356802400,27136048,1751137194,150755822.2222222,194570799.33333334,1.2906353895010798
2011-05,9,1123037250,22460745,1157750644,124781916.66666667,128638960.44444445,1.0309102783545248
2011-06,8,1285658300,25713166,1486652120,160707287.5,185831515.0,1.1563353342019416
2011-07,9,1172733500,23454670,1243386637,130303722.22222222,138154070.7777778,1.0602465410939486
2011-08,9,1809779050,36195581,2585428004,201086561.1111111,287269778.2222222,1.4285876521777616
2011-09,9,1949421850,38988437,2491305093,216602427.7777778,276811677.0,1.2779712574782107
2011-10,8,1107327750,22146555,1205788903,138415968.75,150723612.875,1.0889178050491375
2011-11,9,1660151950,33203039,2225774398,184461327.7777778,247308266.44444445,1.3407052276148579
2011-12,9,1704649150,34092983,2451836646,189405461.1111111,272426294.0,1.4383233323995146
2012-01,9,4950277100,99005542,4427106844,550030788.8888888,491900760.4444444,0.8943149554193643
2012-02,8,4227821500,84556430,5416639075,528477687.5,677079884.375,1.2811891597126321
2012-03,9,1959624900,39192498,2653410605,217736100.0,294823400.5555556,1.3540400537878448
2012-04,8,1333082750,26661655,1752404906,166635343.75,219050613.25,1.3145507328783603
2012-05,9,1221881900,24437638,1292644574,135764655.55555555,143627174.8888889,1.0579128588450324
2012-06,9,1378937200,27578744,1654002042,153215244.44444445,183778004.66666666,1.1994759746854315
2012-07,9,2377850700,47557014,3714207420,264205633.33333334,412689713.3333333,1.5620019457066838
2012-08,9,1384183200,27683664,2248215894,153798133.33333334,249801766.0,1.6242184517193967
2012-09,8,1512632800,30252656,2175308186,189079100.0,271913523.25,1.4380940212323836
2012-10,9,2195982100,43919642,3141519748,243998011.1111111,349057749.7777778,1.4305762091594463
2012-11,9,1141588350,22831767,1026076945,126843150.0,114008549.44444445,0.8988151858767655
2012-12,8,1163197350,23263947,1350344549,145399668.75,168793068.625,1.1608903244148554
2013-01,9,1256253950,25125079,1440599053,139583772.2222222,160066561.44444445,1.146741909149818
2013-02,11,5854569550,117091391,4341358982,532233595.45454544,394668998.3636364,0.7415334201640836
2013-03,9,1270132600,25402652,1209596432,141125844.44444445,134399603.55555555,0.9523387022740776
2013-04,9,1241395650,24827913,1492321723,137932850.0,165813524.7777778,1.2021322315733909
2013-05,9,1418426850,28368537,2062779543,157602983.33333334,229197727.0,1.4542727691597208
2013-06,8,1526720750,30534415,2647261658,190840093.75,330907707.25,1.733952759861291
2013-07,9,1251971950,25039439,1391670604,139107994.44444445,154630067.1111111,1.11158289448897
2013-08,9,1030066450,20601329,1390498940,114451827.77777778,154499882.2222222,1.349911881898493
2013-09,8,1260919600,25218392,1786687543,157614950.0,223335942.875,1.416971821994043
2013-10,9,1058901800,21178036,1291569560,117655755.55555555,143507728.8888889,1.2197255307338226
2013-11,9,1205782950,24115659,1494756332,133975883.33333333,166084036.8888889,1.2396562183932025
2013-12,9,1558256600,31165132,2257776894,173139622.2222222,250864099.33333334,1.4489121329567929
2014-01,10,2402279100,48045582,1894450868,240227910.0,189445086.8,0.7886056486941921
2014-02,11,2828283050,56565661,2558855897,257116640.9090909,232623263.36363637,0.9047382640856968
2014-03,8,908744050,18174881,987459659,113593006.25,123432457.375,1.0866202194116155
2014-04,9,934000750,18680015,945852597,103777861.1111111,105094733.0,1.0126893334935758
2014-05,9,1013843200,20276864,1442308406,112649244.44444445,160256489.55555555,1.4226148639158402
2014-06,8,818923050,16378461,772109670,102365381.25,96513708.75,0.942835434904415
2014-07,9,1082731100,21654622,2085566820,120303455.55555555,231729646.66666666,1.9262093976980987
2014-08,9,884950450,17699009,828165931,98327827.77777778,92018436.77777778,0.935833109074073
2014-09,9,980727550,19614551,1183119684,108969727.77777778,131457742.66666667,1.2063693775095845
2014-10,9,919089550,18381791,921568490,102121061.1111111,102396498.8888889,1.0026971691713826
2014-11,8,951095200,19021904,1662070663,118886900.0,207758832.875,1.7475334361901942
2014-12,9,984358150,19687163,1269165418,109373127.77777778,141018379.7777778,1.2893329709313628
2015-01,9,1275883450,25517669,1840191805,141764827.7777778,204465756.1111111,1.4422883257871242
2015-02,13,3482886150,69657723,3285243177,267914319.23076922,252711013.6153846,0.9432531054740334
2015-03,9,1456339950,29126799,2997921592,161815550.0,333102399.1111111,2.0585314520830114
2015-04,8,879658200,17593164,1062995584,109957275.0,132874448.0,1.2084188881545128
2015-05,9,1301699650,26033993,3249963564,144633294.44444445,361107062.6666667,2.4967077190195144
2015-06,9,1100108900,22002178,1521909318,122234322.22222222,169101035.33333334,1.3834169671747951
2015-07,9,988407200,19768144,2230415952,109823022.22222222,247823994.66666666,2.2565759860915624
2015-08,8,710648950,14212979,691219337,88831118.75,86402417.125,0.9726593376378028
2015-09,9,1098967550,21979351,2371904382,122107505.55555555,263544931.33333334,2.1583024739902466
2015-10,9,815997050,16319941,961029466,90666338.8888889,106781051.77777778,1.1777364464736728
2015-11,8,750439250,15008785,1200450986,93804906.25,150056373.25,1.5996644445236574
2015-12,9,780780800,15615616,736161229,86753422.22222222,81795692.1111111,0.9428526277797815
2016-01,9,815885150,16317703,986387832,90653905.55555555,109598648.0,1.208978778446942
2016-02,14,2802535050,56050701,2504898590,200181075.0,178921327.85714287,0.8937974174488915
2016-03,9,867443650,17348873,1406342201,96382627.77777778,156260244.55555555,1.6212490586564325
2016-04,9,802623250,16052465,819571397,89180361.1111111,91063488.55555555,1.0211159432523291
2016-05,9,770811450,15416229,851232799,85645716.66666667,94581422.1111111,1.1043333606422168
2016-06,8,880453100,17609062,977722995,110056637.5,122215374.375,1.1104770884445747
2016-07,9,784263050,15685261,1592589758,87140338.8888889,176954417.55555555,2.0306831464264445
2016-08,9,765844100,15316882,1283455978,85093788.8888889,142606219.7777778,1.6758710787221578
2016-09,9,1367651350,27353027,3888130619,151961261.1111111,432014513.2222222,2.842925295982781
2016-10,8,1464171300,29283426,3018559776,183021412.5,377319972.0,2.0616165444576056
2016-11,9,780259350,15605187,715862027,86695483.33333333,79540225.22222222,0.9174667717855608
2016-12,9,839500000,16790000,1144286704,93277777.77777778,127142967.1111111,1.3630574198927934
2017-01,12,2802233950,56044679,2309345289,233519495.83333334,192445440.75,0.8241086683715326
2017-02,9,1446313300,28926266,1372445537,160701477.7777778,152493948.55555555,0.9489268590698848
2017-03,9,932145000,18642900,1362144470,103571666.66666667,151349385.55555555,1.461301052947771
2017-04,8,752486750,15049735,974302885,94060843.75,121787860.625,1.2947774628589805
2017-05,9,1078430450,21568609,2427773203,119825605.55555555,269752578.1111111,2.251209804953115
2017-06,9,890546100,17810922,1138873760,98949566.66666667,126541528.8888889,1.2788487423615689
2017-07,8,665221300,13304426,620848880,83152662.5,77606110.0,0.9332967540275695
2017-08,9,830687650,16613753,1442735529,92298627.77777778,160303947.66666666,1.7367966515452589
2017-09,9,844289800,16885796,1154400933,93809977.77777778,128266770.33333333,1.3673041330121483
2017-10,9,1205701000,24114020,2486200089,133966777.77777778,276244454.3333333,2.06203701332254
2017-11,8,805783200,16115664,1448430091,100722900.0,181053761.375,1.7975431741441121
2017-12,9,1096947650,21938953,2564271555,121883072.22222222,284919061.6666667,2.3376425985323914
2018-01,9,918999900,18379998,1147780495,102111100.0,127531166.1111111,1.2489451794282023
2018-02,12,3026342150,60526843,2248621138,252195179.16666666,187385094.83333334,0.7430161649105009
2018-03,9,891091000,17821820,1062874134,99010111.1111111,118097126.0,1.1927784412590858
2018-04,8,923196250,18463925,2445470943,115399531.25,305683867.875,2.648917760443676
2018-05,9,1916651850,38333037,5814597428,212961316.66666666,646066380.8888888,3.0337264579375747
2018-06,9,995731000,19914620,864748248,110636777.77777778,96083138.66666667,0.8684556853206338
2018-07,9,801151750,16023035,1294756350,89016861.1111111,143861816.66666666,1.616118731563652
2018-08,9,1074077550,21481551,3217396647,119341950.0,357488516.3333333,2.9954975290192034
2018-09,8,954910000,19098200,917974314,119363750.0,114746789.25,0.9613202437926087
2018-10,9,783120950,15662419,819893404,87013438.8888889,91099267.1111111,1.0469562894467324
2018-11,9,800353200,16007064,1469282525,88928133.33333333,163253613.8888889,1.8357926537933502
2018-12,8,845877400,16917548,1826902371,105734675.0,228362796.375,2.1597720556194075
2019-01,9,989026450,19780529,1908592358,109891827.77777778,212065817.55555555,1.9297687721091787
2019-02,15,3765848900,75316978,3898079635,251056593.33333334,259871975.66666666,1.0351131281448918
2019-03,9,831386900,16627738,850434860,92376322.22222222,94492762.22222222,1.0229110658346914
2019-04,9,805024200,16100484,1207281479,89447133.33333333,134142386.55555555,1.4996834616897232
2019-05,9,1068002250,21360045,2433832996,118666916.66666667,270425888.4444444,2.278865045462217
2019-06,8,1054768900,21095378,1911434214,131846112.5,238929276.75,1.8121829473735906
2019-07,9,970360300,19407206,1996084237,107817811.1111111,221787137.44444445,2.057054721838888
2019-08,9,805249350,16104987,1365025821,89472150.0,151669535.66666666,1.695159171503833
2019-09,8,1387806750,27756135,3472872499,173475843.75,434109062.375,2.5024179331884646
2019-10,9,1487941750,29758835,4659954573,165326861.1111111,517772730.3333333,3.1318125007245747
2019-11,9,877905000,17558100,1416651359,97545000.0,157405706.55555555,1.6136727311041628
2019-12,9,886939150,17738783,1385638337,98548794.44444445,153959815.2222222,1.5622698998009052
2020-01,15,2990189750,59803795,3156990372,199345983.33333334,210466024.8,1.0557826211530557
2020-02,10,1436114050,28722281,2145026945,143611405.0,214502694.5,1.4936327271500478
2020-03,9,1063224100,21264482,2685282212,118136011.1111111,298364690.2222222,2.525603221371675
2020-04,8,1691914600,33838292,5052161844,211489325.0,631520230.5,2.9860619702672935
2020-05,9,1369267000,27385340,2769652852,152140777.7777778,307739205.7777778,2.0227266500981913
2020-06,9,1142208600,22844172,1114386750,126912066.66666667,123820750.0,0.9756420587272763
2020-07,9,1032598600,20651972,1072395953,114733177.77777778,119155105.8888889,1.0385409712932014
2020-08,8,762043500,15240870,900681725,95255437.5,112585215.625,1.181929542079947
2020-09,9,1061192300,21223846,935791379,117910255.55555555,103976819.8888889,0.8818301631099283
2020-10,9,1058328950,21166579,1151106716,117592105.55555555,127900746.22222222,1.0876643939485922
2020-11,8,864072400,17281448,2022579558,108009050.0,252822444.75,2.340752416116983
2020-12,9,1061063200,21221264,2213298391,117895911.1111111,245922043.44444445,2.085925127739799
2021-01,9,1081221750,21624435,2492284490,120135750.0,276920498.8888889,2.3050632213049727
2021-02,17,4027340250,80546805,4303545106,236902367.6470588,253149712.11764705,1.0685824486768905
2021-03,9,932784650,18655693,1040869941,103642738.8888889,115652215.66666667,1.1158737882318281
2021-04,9,854291150,17085823,956020789,94921238.8888889,106224532.1111111,1.119080759527943
2021-05,8,708530350,14170607,1503884672,88566293.75,187985584.0,2.1225409356141203
2021-06,9,785745350,15714907,2401189506,87305038.8888889,266798834.0,3.0559385505749415
2021-07,9,773010300,15460206,1363667985,85890033.33333333,151518665.0,1.764100665929031
2021-08,9,1497893250,29957865,3306632652,166432583.33333334,367403628.0,2.207522232976215
2021-09,8,1229808150,24596163,1515195056,153726018.75,189399382.0,1.2320580701957455
2021-10,9,976389200,19527784,1178164712,108487688.8888889,130907190.22222222,1.2066547970829664
2021-11,9,820751400,16415028,1193695382,91194600.0,132632820.22222222,1.454393354674753
2021-12,9,835370450,16707409,1228404458,92818938.8888889,136489384.2222222,1.4704906763221035
2022-01,11,1721525650,34430513,3022845737,156502331.8181818,274804157.90909094,1.7559109485240607
2022-02,15,3367008950,67340179,3595197187,224467263.33333334,239679812.46666667,1.0677717940131997
2022-03,9,872363750,17447275,1177535605,96929305.55555555,130837289.44444445,1.349821797386698
2022-04,9,824713000,16494260,1088418373,91634777.77777778,120935374.77777778,1.3197541120365508
2022-05,9,993659350,19873187,1689368329,110406594.44444445,187707592.1111111,1.700148374792629
2022-06,8,860117150,17202343,877408178,107514643.75,109676022.25,1.0201031080475491
2022-07,9,793109050,15862181,1143818467,88123227.77777778,127090940.77777778,1.4421957068829312
2022-08,9,865787850,17315757,1219146342,96198650.0,135460704.66666666,1.408135193858403
2022-09,9,1200675100,24013502,1203721829,133408344.44444445,133746869.8888889,1.002537513270659
2022-10,8,981585950,19631719,2388782350,122698243.75,298597793.75,2.4335946841944915
2022-11,9,1133480200,22669604,2172458515,125942244.44444445,241384279.44444445,1.9166267880109418
2022-12,9,847802300,16956046,890013728,94200255.55555555,98890414.22222222,1.0497892350610514
2023-01,17,3642809900,72856198,3491833873,214282935.29411766,205401992.52941176,0.9585550629474242
2023-02,12,1684410100,33688202,2675576470,140367508.33333334,222964705.83333334,1.588435304442784
2023-03,9,977583450,19551669,1204978662,108620383.33333333,133886518.0,1.2326095148194254
2023-04,8,855870700,17117414,1791289221,106983837.5,223911152.625,2.0929437367116317
2023-05,9,1100285550,22005711,2113139131,122253950.0,234793236.7777778,1.9205370196854807
2023-06,9,1196352350,23927047,1361510609,132928038.8888889,151278956.55555555,1.1380515188522846
2023-07,8,888789250,17775785,1651059650,111098656.25,206382456.25,1.8576503372424902
2023-08,9,892333950,17846679,1265265831,99148216.66666667,140585092.33333334,1.417928602850984
2023-09,9,1218456350,24369127,1718945004,135384038.8888889,190993889.33333334,1.4107563262319573
2023-10,9,1016025850,20320517,1317490002,112891761.1111111,146387778.0,1.2967091358945246
2023-11,8,1127424350,22548487,2072684947,140928043.75,259085618.375,1.8384248548472455
2023-12,9,1091007550,21820151,966460118,121223061.1111111,107384457.55555555,0.8858418239177172
2024-01,9,914281150,18285623,878298220,101586794.44444445,97588691.1111111,0.960643473837342
2024-02,21,3929955750,78599115,4246877605,187140750.0,202232266.9047619,1.08064260138298
2024-03,9,1037627200,20752544,1738432753,115291911.1111111,193159194.7777778,1.6753924270682188
2024-04,9,866389750,17327795,1200699538,96265527.77777778,133411059.77777778,1.3858653544781665
2024-05,9,1056100650,21122013,1372994624,117344516.66666667,152554958.2222222,1.3000603910242836
2024-06,8,989676400,19793528,848962315,123709550.0,106120289.375,0.8578180857904665
2024-07,9,928754450,18575089,1595862358,103194938.8888889,177318039.7777778,1.7182823274763313
2024-08,9,853206100,17064122,1099001864,94800677.77777778,122111318.22222222,1.2880848648409804
2024-09,8,1262588650,25251773,1996506212,157823581.25,249563276.5,1.5812800249709198
2024-10,9,1116621300,22332426,1842355881,124069033.33333333,204706209.0,1.6499379700172296
2024-11,9,945632750,18912655,1528188446,105070305.55555555,169798716.2222222,1.6160485621928808
2024-12,9,907529100,18150582,1175606923,100836566.66666667,130622991.44444445,1.2953930876706874
2025-01,14,2843232000,56864640,3791243348,203088000.0,270803096.28571427,1.333427362944705
2025-02,17,3131702550,62634051,4378874672,184217797.05882353,257580863.05882353,1.3982409255310662
2025-03,8,841125850,16822517,1182479267,105140731.25,147809908.375,1.405829183587688
2025-04,9,857428500,17148570,1095496518,95269833.33333333,121721835.33333333,1.2776534929734666
2025-05,9,1013896450,20277929,1154321935,112655161.1111111,128257992.77777778,1.1385008153446046
2025-06,8,1037869450,20757389,1386219540,129733681.25,173277442.5,1.3356396028421493
2025-07,9,1612870350,32257407,4300850459,179207816.66666666,477872273.2222222,2.6665816375135174
2025-08,9,924335000,18486700,1364987583,102703888.8888889,151665287.0,1.4767238966392056
2025-09,9,1217699600,24353992,1918085786,135299955.55555555,213120642.8888889,1.5751715661235333
2025-10,9,1525384200,30507684,3389291121,169487133.33333334,376587902.3333333,2.2219262012809624
2025-11,8,1412283800,28245676,3092896875,176535475.0,386612109.375,2.1899967095848583
2025-12,9,996090400,19921808,1340038685,110676711.1111111,148893187.2222222,1.3452982630893742
