月份,大樂透開獎期數,大樂透銷售總額,大樂透銷售注數,大樂透單月最高總獎金,大樂透平均每期銷售額
2010-01,9,1426406150,28528123,319119932,158489572.2222222
2010-02,8,2415584700,48311694,639568661,301948087.5
2010-03,9,1563354800,31267096,294118530,173706088.8888889
2010-04,9,1325854850,26517097,157187411,147317205.55555555
2010-05,8,1285368200,25707364,391829027,160671025.0
2010-06,9,1292536100,25850722,294002160,143615122.2222222
2010-07,9,1303919550,26078391,267857338,144879950.0
2010-08,9,1590981150,31819623,476685869,176775683.33333334
2010-09,8,1162225400,23244508,291744764,145278175.0
2010-10,9,1231291950,24625839,202338176,136810216.66666666
2010-11,9,1413029750,28260595,387200897,157003305.55555555
2010-12,9,1481451450,29629029,406156781,164605716.66666666
2011-01,8,1489262150,29785243,516020248,186157768.75
2011-02,8,7007918150,140158363,2783011428,875989768.75
2011-03,9,1332307550,26646151,280057248,148034172.2222222
2011-04,9,1356802400,27136048,373941969,150755822.2222222
2011-05,9,1123037250,22460745,216732733,124781916.66666667
2011-06,8,1285658300,25713166,283755629,160707287.5
2011-07,9,1172733500,23454670,225839637,130303722.22222222
2011-08,9,1809779050,36195581,559449172,201086561.1111111
2011-09,9,1949421850,38988437,689093030,216602427.7777778
2011-10,8,1107327750,22146555,220432724,138415968.75
2011-11,9,1660151950,33203039,505069343,184461327.7777778
2011-12,9,1704649150,34092983,532171575,189405461.1111111
2012-01,9,4950277100,99005542,819369865,550030788.8888888
2012-02,8,4227821500,84556430,1712238207,528477687.5
2012-03,9,1959624900,39192498,569883813,217736100.0
2012-04,8,1333082750,26661655,381047214,166635343.75
2012-05,9,1221881900,24437638,211419772,135764655.55555555
2012-06,9,1378937200,27578744,434016907,153215244.44444445
2012-07,9,2377850700,47557014,838138979,264205633.33333334
2012-08,9,1384183200,27683664,420394461,153798133.33333334
2012-09,8,1512632800,30252656,570648193,189079100.0
2012-10,9,2195982100,43919642,1006264514,243998011.1111111
2012-11,9,1141588350,22831767,195402330,126843150.0
2012-12,8,1163197350,23263947,275568351,145399668.75
2013-01,9,1256253950,25125079,288202948,139583772.2222222
2013-02,11,5854569550,117091391,704271885,532233595.45454544
2013-03,9,1270132600,25402652,225890748,141125844.44444445
2013-04,9,1241395650,24827913,292090432,137932850.0
2013-05,9,1418426850,28368537,466521329,157602983.33333334
2013-06,8,1526720750,30534415,637737987,190840093.75
2013-07,9,1251971950,25039439,294065185,139107994.44444445
2013-08,9,1030066450,20601329,252482810,114451827.77777778
2013-09,8,1260919600,25218392,502174507,157614950.0
2013-10,9,1058901800,21178036,229778025,117655755.55555555
2013-11,9,1205782950,24115659,444408550,133975883.33333333
2013-12,9,1558256600,31165132,568031223,173139622.2222222
2014-01,10,2402279100,48045582,510859037,240227910.0
2014-02,11,2828283050,56565661,668825176,257116640.9090909
2014-03,8,908744050,18174881,165636331,113593006.25
