月份,威力彩開獎期數,威力彩銷售總額,威力彩銷售注數,威力彩單月最高總獎金,威力彩平均每期銷售額
2010-01,8,745038000,7450380,245508355,93129750.0
2010-02,8,1549612100,15496121,765792824,193701512.5
2010-03,9,1157542500,11575425,877368662,128615833.33333333
2010-04,9,826942700,8269427,508391611,91882522.22222222
2010-05,9,721793800,7217938,457401307,80199311.1111111
2010-06,8,644144800,6441448,527735250,80518100.0
2010-07,9,812941100,8129411,359096046,90326788.8888889
2010-08,9,1421860400,14218604,839313485,157984488.8888889
2010-09,9,1697009800,16970098,1310370842,188556644.44444445
2010-10,8,612873400,6128734,338596673,76609175.0
2010-11,9,651438800,6514388,231203831,72382088.8888889
2010-12,9,736635500,7366355,438982419,81848388.8888889
2011-01,9,647610500,6476105,225261112,71956722.22222222
2011-02,8,585999300,5859993,290641807,73249912.5
2011-03,9,798529700,7985297,547455290,88725522.22222222
2011-04,8,591686300,5916863,613313004,73960787.5
2011-05,9,552147700,5521477,348080205,61349744.44444445
2011-06,9,571331200,5713312,420327493,63481244.44444445
2011-07,8,486014700,4860147,283541006,60751837.5
2011-08,9,1134014400,11340144,650270307,126001600.0
2011-09,9,483077500,4830775,220961315,53675277.777777776
2011-10,9,1150672300,11506723,632023743,127852477.77777778
2011-11,8,478648700,4786487,202166964,59831087.5
2011-12,9,699336700,6993367,427699272,77704077.77777778
2012-01,9,2198935100,21989351,1111389810,244326122.2222222
2012-02,8,565142000,5651420,313902537,70642750.0
2012-03,9,589991400,5899914,376794875,65554600.0
2012-04,9,446061400,4460614,228321338,49562377.777777776
2012-05,9,484589400,4845894,272931831,53843266.666666664
2012-06,8,690632400,6906324,490378742,86329050.0
2012-07,9,3750838100,37508381,1891014845,416759788.8888889
2012-08,9,502207400,5022074,223956516,55800822.222222224
2012-09,8,431943900,4319439,228079602,53992987.5
2012-10,9,673501500,6735015,448332222,74833500.0
2012-11,9,2238773200,22387732,1228181357,248752577.7777778
2012-12,9,3003384500,30033845,2281163003,333709388.8888889
2013-01,9,571009800,5710098,253361610,63445533.333333336
2013-02,8,565724400,5657244,257812524,70715550.0
2013-03,8,730041800,7300418,512642707,91255225.0
2013-04,9,3585184900,35851849,1752264500,398353877.7777778
2013-05,9,515442300,5154423,216676414,57271366.666666664
2013-06,8,1254465500,12544655,841438436,156808187.5
2013-07,9,5520538100,55205381,2836789806,613393122.2222222
2013-08,9,545736500,5457365,256331605,60637388.88888889
2013-09,9,1388977900,13889779,916247496,154330877.7777778
2013-10,9,1730809000,17308090,1407475579,192312111.1111111
2013-11,8,665352300,6653523,676688609,83169037.5
2013-12,9,3405086100,34050861,1841687772,378342900.0
2014-01,9,681313700,6813137,244726742,75701522.22222222
2014-02,8,2116667500,21166675,1157825063,264583437.5
2014-03,9,1893832500,18938325,1649912047,210425833.33333334
2014-04,8,541922000,5419220,313148766,67740250.0
2014-05,9,1118824200,11188242,883762278,124313800.0
2014-06,9,1864630800,18646308,1426709226,207181200.0
2014-07,9,567398600,5673986,297080003,63044288.88888889
2014-08,8,847423400,8474234,565786745,105927925.0
2014-09,9,826334000,8263340,627255144,91814888.8888889
2014-10,9,566772900,5667729,259118848,62974766.666666664
2014-11,8,684507600,6845076,472503933,85563450.0
2014-12,9,2552347800,25523478,1330759885,283594200.0
