月份,比對欄位,最高累積獎金_對方,電腦型彩券最高連槓獎金_我們,差異_對方減我們,D1_春節_對方,春節_我們,CCI_國內景氣_對方,CCI_我們
2018-03,最高累積獎金 vs 電腦型彩券最高連槓獎金,384157333.0,214098782.0,170058551.0,,,,
2025-02,D1_春節 vs 春節,,,-1.0,0.0,1.0,,
2019-08,CCI_國內景氣 vs CCI,,,-21.049999999999997,,,65.2,86.25
2019-11,CCI_國內景氣 vs CCI,,,-10.700000000000003,,,79.25,89.95
2020-09,CCI_國內景氣 vs CCI,,,-47.7,,,35.3,83.0
2021-03,CCI_國內景氣 vs CCI,,,-18.950000000000003,,,70.55,89.5
2021-09,CCI_國內景氣 vs CCI,,,-39.8,,,48.8,88.6
2022-02,CCI_國內景氣 vs CCI,,,-24.700000000000003,,,65.3,90.0
2022-11,CCI_國內景氣 vs CCI,,,-25.000000000000007,,,61.65,86.65
2023-01,CCI_國內景氣 vs CCI,,,-15.499999999999993,,,61.35,76.85
2023-07,CCI_國內景氣 vs CCI,,,-14.800000000000011,,,66.1,80.9
2023-09,CCI_國內景氣 vs CCI,,,-14.599999999999994,,,65.4,80.0
